Dates,Beta,Dividend Yield,Earnings Quality,Earnings Yield,Growth,Leverage,Liquidity,Long-Term Reversal,Management Quality,Mid Capitalization,Momentum,Profitability,Prospect,Residual Volatility,Size,Value
1995/08/08,0.00029211,-0.00058152,-0.00042802,-0.00064975,-0.00171665,0.00055691,-0.00089003,-0.00033929,0.00020756,-0.00027726,0.00213978,0.00012732,0.00021929,-0.00010675,0.00015273,-0.00107255
1995/08/09,0.00135871,0.00012937,-0.00000627,-0.00097809,-0.00087626,0.00013667,-0.00071454,-0.00204043,0.00020222,0.00045582,0.00123243,0.00090235,-0.00029719,0.00026594,-0.00179871,0.00026316
1995/08/10,-0.00113302,-0.00019214,-0.00134379,-0.00043385,0.00011038,-0.00004702,0.00042018,-0.00010036,0.00005750,-0.00161755,-0.00054002,0.00132909,0.00043974,-0.00016847,-0.00014714,0.00087082
1995/08/11,0.00014486,-0.00000370,-0.00001084,0.00005635,-0.00038380,-0.00025172,-0.00169148,-0.00088102,-0.00029654,0.00049334,0.00052662,0.00040451,-0.00024133,-0.00068146,-0.00026665,0.00085296
1995/08/14,0.00216791,-0.00025644,0.00085315,0.00068343,-0.00037580,0.00039563,0.00003508,0.00016301,0.00067452,-0.00109732,0.00062067,0.00007431,-0.00022799,-0.00003309,0.00092357,-0.00084844
1995/08/15,0.00078290,0.00001662,-0.00035072,-0.00115456,-0.00052258,0.00047844,0.00049636,-0.00064508,-0.00039578,-0.00074061,0.00057108,0.00092422,-0.00109375,0.00037379,-0.00114981,0.00088395
1995/08/16,0.00426537,0.00038564,-0.00119429,0.00000174,0.00128812,-0.00003595,0.00028695,-0.00091041,-0.00010558,0.00126561,0.00174794,-0.00024570,-0.00009887,0.00179366,-0.00078078,0.00111903
1995/08/17,0.00015954,-0.00099524,0.00130273,-0.00097398,0.00028740,0.00060606,0.00050971,-0.00041614,0.00081665,0.00155224,0.00065395,-0.00041335,0.00064728,0.00078561,-0.00189993,0.00093545
1995/08/18,0.00057664,-0.00019378,0.00077326,-0.00013443,0.00130799,0.00031395,0.00037298,0.00086934,-0.00064559,-0.00000753,-0.00019388,0.00033331,0.00027601,0.00049420,-0.00057787,0.00000440
1995/08/21,-0.00231993,0.00121424,0.00055183,-0.00002953,0.00061776,0.00048301,-0.00139829,0.00089336,-0.00003237,-0.00187633,-0.00173151,-0.00085276,-0.00079688,-0.00035145,-0.00279812,-0.00155750
1995/08/22,0.00180694,0.00078048,-0.00097004,0.00015938,0.00013840,-0.00035865,0.00174089,0.00041048,-0.00062700,0.00002521,0.00024349,0.00180563,-0.00001248,0.00007526,0.00139035,0.00080218
1995/08/23,-0.00081916,-0.00012708,-0.00040101,-0.00027993,0.00082916,-0.00035755,0.00093290,0.00010059,0.00021637,0.00090086,0.00068506,0.00025703,-0.00020110,-0.00062134,-0.00151546,-0.00039803
1995/08/24,-0.00123596,0.00036165,0.00056417,0.00102905,0.00050989,0.00091455,-0.00082085,0.00015247,0.00032002,-0.00169495,0.00062140,-0.00085281,-0.00066103,-0.00111533,0.00064032,-0.00046009
1995/08/25,0.00014894,0.00115486,0.00081567,-0.00047064,0.00070501,0.00046680,-0.00037795,0.00053093,0.00002319,-0.00033041,-0.00106912,0.00105910,-0.00013275,-0.00058080,0.00045524,-0.00030164
1995/08/28,-0.00083176,0.00045668,0.00139638,0.00180971,-0.00110331,0.00080567,0.00026461,0.00008778,0.00000689,-0.00017159,-0.00052323,-0.00008206,0.00043067,0.00038047,0.00002648,0.00052365
1995/08/29,-0.00094405,-0.00238740,-0.00067130,0.00182959,-0.00040236,-0.00002844,0.00033144,-0.00098939,0.00118376,-0.00158765,-0.00182286,0.00042267,-0.00088742,-0.00171215,0.00303148,0.00011918
1995/08/30,0.00191415,-0.00152753,0.00030686,-0.00114934,0.00114198,0.00105257,-0.00085743,0.00061453,0.00000346,0.00139034,0.00078867,0.00098952,-0.00098668,0.00176676,-0.00093480,0.00150150
1995/08/31,0.00047304,-0.00085644,-0.00166805,-0.00000898,0.00000464,0.00018715,0.00062670,-0.00042661,0.00011007,0.00003393,0.00154829,-0.00006496,0.00008431,-0.00183698,-0.00129083,-0.00006581
1995/09/01,-0.00029825,0.00108039,-0.00020537,0.00080236,0.00048839,-0.00052511,0.00035839,0.00026065,-0.00011067,-0.00007569,0.00055377,-0.00270052,0.00017659,0.00024423,0.00000492,-0.00078413
1995/09/04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1995/09/05,0.00321678,-0.00031424,-0.00110409,0.00045269,0.00080773,0.00025539,-0.00026432,-0.00129957,0.00000026,0.00191817,0.00269530,0.00179040,0.00043001,-0.00003323,0.00164494,0.00131211
1995/09/06,0.00051237,0.00122308,-0.00032451,0.00069528,0.00038113,-0.00131703,0.00039624,-0.00122836,0.00001522,0.00054866,0.00388867,-0.00078117,-0.00014797,0.00106012,-0.00194573,0.00003424
1995/09/07,-0.00096952,-0.00006618,0.00016241,-0.00019034,0.00014445,-0.00069711,0.00103966,0.00094552,0.00054679,0.00058437,0.00082520,-0.00004302,-0.00051248,0.00032465,-0.00108160,-0.00028489
1995/09/08,0.00244164,-0.00016576,-0.00146728,0.00121879,0.00005525,0.00038040,-0.00042859,-0.00037291,-0.00018188,0.00058358,0.00068280,0.00101819,0.00013131,0.00179094,-0.00104715,-0.00030665
1995/09/11,0.00023825,0.00125763,0.00013288,-0.00069369,0.00107664,0.00039970,0.00122279,-0.00071400,-0.00042574,0.00002277,0.00152377,-0.00029783,0.00035569,-0.00030898,-0.00026093,-0.00018387
1995/09/12,-0.00169739,0.00112887,0.00026111,-0.00174928,-0.00023311,0.00018533,0.00022266,0.00068941,-0.00013134,-0.00075407,-0.00032505,-0.00061894,-0.00045060,0.00031684,0.00011619,-0.00070108
1995/09/13,0.00052169,0.00037248,-0.00010165,0.00050005,-0.00088363,-0.00021077,0.00108453,-0.00001600,-0.00000515,-0.00201088,0.00098251,0.00133200,-0.00017413,-0.00014401,0.00072864,0.00006100
1995/09/14,-0.00131657,0.00018737,0.00103997,-0.00034673,0.00120894,-0.00022796,-0.00225164,0.00054310,-0.00003648,-0.00297278,-0.00112651,-0.00012349,0.00018320,-0.00068435,0.00213858,-0.00031720
1995/09/15,-0.00372342,-0.00021918,0.00138483,0.00064623,0.00083348,0.00097579,0.00051362,0.00145615,0.00071315,-0.00053631,-0.00142535,-0.00117069,-0.00099100,-0.00150857,0.00202262,0.00028031
1995/09/18,0.00119079,-0.00028121,-0.00069590,-0.00022692,0.00040868,-0.00141604,-0.00159812,-0.00039241,0.00015824,0.00020855,0.00050964,0.00025280,0.00062036,0.00001900,0.00106463,0.00026812
1995/09/19,0.00131827,0.00119446,-0.00033148,0.00008670,0.00141584,-0.00093331,0.00002822,-0.00006026,-0.00177527,-0.00052039,0.00275971,0.00074477,0.00085018,-0.00081677,0.00072820,0.00009775
1995/09/20,0.00086996,-0.00054596,-0.00019064,-0.00050805,0.00077670,0.00060339,-0.00055116,-0.00107214,-0.00026024,0.00051184,0.00072700,0.00027521,-0.00057100,0.00023838,0.00039513,0.00149443
1995/09/21,-0.00426848,0.00035018,0.00070568,-0.00149239,0.00120753,0.00026003,-0.00012101,0.00058871,0.00045704,-0.00019439,0.00063931,-0.00001375,0.00000279,-0.00003735,-0.00099309,-0.00097837
1995/09/22,-0.00051097,0.00106548,0.00113445,0.00010547,-0.00016979,-0.00002857,-0.00047744,-0.00050027,0.00012859,-0.00105996,-0.00087781,-0.00052817,0.00010603,-0.00032299,-0.00018637,-0.00076091
1995/09/25,-0.00187789,0.00045096,0.00035591,-0.00002170,0.00028455,0.00000300,-0.00110177,0.00017909,0.00024012,-0.00207407,0.00037685,-0.00031443,0.00002903,-0.00220564,0.00226459,0.00008692
1995/09/26,-0.00187860,0.00016752,0.00078784,-0.00002704,0.00036762,-0.00087022,-0.00048018,0.00071191,0.00020559,-0.00045219,-0.00071452,-0.00063762,-0.00051744,-0.00098847,0.00133767,0.00051029
1995/09/27,-0.00127886,0.00096044,0.00009336,0.00031333,-0.00154378,0.00059303,-0.00087523,-0.00030106,0.00027016,-0.00016339,-0.00008823,0.00135226,-0.00057851,-0.00198570,0.00291456,0.00090359
1995/09/28,0.00513109,-0.00069598,-0.00064490,-0.00076649,0.00202379,-0.00061291,0.00057830,-0.00032569,0.00056445,0.00097887,0.00112680,0.00038519,0.00062716,0.00165989,0.00009916,0.00095410
1995/09/29,-0.00171201,0.00017051,0.00053079,0.00115567,0.00064250,-0.00074810,-0.00053329,-0.00001184,0.00044910,-0.00110101,0.00142460,-0.00172707,0.00025678,-0.00130214,-0.00353402,-0.00063044
1995/10/02,-0.00379522,-0.00059676,-0.00040317,-0.00037209,-0.00188591,0.00007970,-0.00128483,0.00032731,-0.00049667,-0.00041629,-0.00025312,0.00031825,-0.00022042,-0.00274297,0.00283732,-0.00004705
1995/10/03,-0.00279562,-0.00045353,0.00050313,-0.00116695,0.00018284,0.00049408,-0.00100869,0.00111108,-0.00006702,-0.00209441,-0.00187036,0.00318160,0.00002617,-0.00194027,0.00387612,-0.00023385
1995/10/04,-0.00545767,0.00112333,0.00149212,0.00040562,-0.00069297,0.00089513,0.00065902,-0.00004602,-0.00018379,-0.00276425,-0.00126988,0.00159019,-0.00051815,-0.00173571,0.00187688,-0.00053605
1995/10/05,0.00515935,0.00060032,0.00029476,0.00000632,0.00153637,0.00025002,-0.00061831,0.00060957,-0.00004323,0.00147195,0.00222050,0.00187324,-0.00035052,0.00092797,0.00108230,0.00175076
1995/10/06,-0.00091922,0.00034934,-0.00049584,0.00138423,-0.00025854,-0.00011260,0.00029782,0.00082747,-0.00048672,0.00103093,-0.00003626,-0.00137935,-0.00002562,0.00022719,-0.00087780,-0.00149079
1995/10/09,-0.00598781,0.00009220,0.00106512,-0.00019308,-0.00198900,0.00002610,-0.00218073,0.00044352,0.00021813,-0.00131525,-0.00293144,0.00197528,-0.00019239,-0.00278073,0.00341405,-0.00017913
1995/10/10,0.00158039,0.00255593,0.00119081,0.00003044,-0.00044877,-0.00001576,-0.00067008,-0.00063647,-0.00070928,0.00100927,0.00244087,-0.00108941,0.00046701,0.00073826,0.00132276,0.00033624
1995/10/11,0.00365098,0.00123165,-0.00029872,-0.00033761,0.00226830,0.00037340,0.00133724,0.00092247,-0.00060356,0.00161369,0.00298242,-0.00083612,-0.00057348,0.00043748,-0.00203447,-0.00006795
1995/10/12,0.00321725,-0.00078749,-0.00085936,-0.00023784,0.00054791,0.00068669,0.00033143,0.00025092,-0.00072910,0.00046205,0.00196440,0.00026036,-0.00069635,0.00041812,0.00002608,-0.00005242
1995/10/13,0.00096836,-0.00100304,0.00096564,0.00016070,0.00147939,0.00026146,-0.00018382,0.00063641,0.00081396,-0.00023271,0.00033512,-0.00074391,-0.00074785,-0.00081081,-0.00091366,-0.00071618
1995/10/16,-0.00213449,-0.00098716,0.00022092,0.00037695,0.00038666,-0.00121223,-0.00057168,-0.00043265,-0.00030880,-0.00030934,0.00104666,-0.00166622,0.00126796,-0.00159516,0.00023222,0.00062135
1995/10/17,0.00215241,0.00102583,-0.00045415,-0.00008597,0.00198966,-0.00022230,-0.00022217,-0.00001047,-0.00100708,0.00169948,0.00266861,0.00245574,0.00012111,-0.00047432,0.00210621,0.00081453
1995/10/18,-0.00053864,-0.00067929,-0.00059693,-0.00021514,0.00084612,-0.00073572,-0.00086306,0.00026291,0.00037167,-0.00064672,0.00148549,0.00024234,0.00151743,-0.00287030,0.00017720,-0.00024964
1995/10/19,-0.00234525,-0.00014931,0.00023153,-0.00043342,-0.00067782,-0.00047754,0.00185990,0.00038663,0.00020324,-0.00231733,0.00274881,0.00116540,0.00028399,-0.00000481,0.00143486,-0.00052689
1995/10/20,-0.00203289,0.00191153,0.00200999,0.00092924,0.00093568,-0.00175662,-0.00187478,0.00063196,0.00011893,-0.00135574,-0.00145541,-0.00195627,-0.00071419,0.00123502,-0.00204679,0.00023550
1995/10/23,0.00098102,-0.00030443,0.00030931,0.00115606,0.00049942,-0.00086385,-0.00023312,0.00065608,0.00037511,0.00050113,0.00085080,0.00076158,-0.00016319,-0.00160971,0.00133548,0.00075740
1995/10/24,-0.00030955,0.00013436,-0.00006666,-0.00006137,0.00154001,-0.00203286,0.00047484,0.00061282,0.00072932,-0.00035649,0.00075657,0.00007990,0.00110203,-0.00057351,0.00021710,-0.00167474
1995/10/25,-0.00321482,0.00101010,0.00123876,-0.00185622,0.00050141,-0.00038246,-0.00090413,-0.00029687,0.00061146,-0.00145495,-0.00153043,0.00038713,0.00044351,-0.00147092,0.00130051,0.00115466
1995/10/26,-0.00024843,0.00030014,0.00106836,0.00167326,0.00007313,0.00046360,-0.00361842,-0.00233025,-0.00051104,-0.00179591,-0.00099497,0.00101942,0.00061433,-0.00010957,0.00034866,-0.00157076
1995/10/27,0.00434114,0.00002556,-0.00059806,-0.00031245,-0.00086398,-0.00009317,0.00040679,-0.00042242,0.00051315,0.00008668,0.00216805,0.00098905,0.00050285,-0.00014615,0.00222381,0.00150334
1995/10/30,0.00168677,-0.00033357,-0.00028950,-0.00156591,0.00175964,-0.00116378,0.00064846,-0.00035817,0.00032052,0.00153360,0.00167085,0.00054544,0.00093994,-0.00117130,0.00136874,0.00245518
1995/10/31,-0.00221276,-0.00035551,0.00126568,0.00044444,0.00191587,-0.00110261,0.00117911,0.00054360,0.00068715,-0.00023805,0.00112012,-0.00153194,-0.00006153,-0.00153840,-0.00156333,-0.00093857
1995/11/01,0.00106756,-0.00104806,0.00037009,-0.00157781,-0.00097787,0.00021994,0.00187078,-0.00029102,0.00026945,0.00045771,-0.00025264,0.00266346,-0.00011900,0.00169374,0.00010335,0.00071017
1995/11/02,0.00273168,0.00034214,0.00033579,-0.00053952,0.00097157,-0.00002377,0.00292929,-0.00069560,-0.00015031,0.00261373,-0.00056422,-0.00178655,0.00099437,0.00301112,-0.00007297,0.00004397
1995/11/03,0.00213742,-0.00102463,0.00019597,-0.00035689,-0.00126724,-0.00018088,-0.00106786,-0.00084568,-0.00013487,0.00106833,0.00028248,0.00196321,0.00038057,0.00086960,-0.00145333,0.00112486
1995/11/06,-0.00253021,-0.00029576,0.00000657,0.00051179,0.00022248,-0.00067988,0.00051120,0.00034101,-0.00050127,0.00088632,-0.00045776,-0.00172859,0.00008508,-0.00088472,-0.00143634,-0.00082774
1995/11/07,-0.00499535,-0.00109491,-0.00008844,0.00066978,0.00083674,-0.00071363,-0.00059019,0.00175114,0.00034335,0.00027603,-0.00355318,-0.00172190,-0.00105131,-0.00095456,0.00094414,-0.00066145
1995/11/08,0.00027408,0.00091293,0.00088830,-0.00039802,0.00118023,-0.00036231,0.00236736,0.00083647,0.00098070,-0.00115348,0.00032232,0.00115971,-0.00089661,0.00068266,0.00095232,0.00047237
1995/11/09,0.00288979,-0.00113928,-0.00112772,0.00017159,0.00103564,-0.00067489,0.00059156,-0.00070967,0.00012846,0.00011087,0.00139381,0.00110831,-0.00050041,0.00057084,0.00035997,0.00083993
1995/11/10,-0.00094804,0.00017358,0.00048077,0.00030685,0.00039807,-0.00048378,0.00078465,0.00092373,0.00061787,-0.00083357,0.00198673,-0.00016569,0.00016876,0.00158302,-0.00054101,-0.00031292
1995/11/13,-0.00199849,0.00006329,-0.00063646,0.00007271,0.00086123,-0.00012659,-0.00063732,0.00108581,-0.00021221,0.00180169,-0.00023360,0.00078518,-0.00025836,-0.00093211,0.00019348,-0.00017713
1995/11/14,-0.00490209,0.00032553,0.00035433,-0.00052025,-0.00104755,0.00123648,-0.00100042,0.00032823,-0.00001479,-0.00023811,-0.00158352,0.00100026,-0.00102309,-0.00268761,0.00037406,-0.00008742
1995/11/15,-0.00033188,0.00141435,0.00004639,-0.00058245,-0.00191484,0.00023577,-0.00023141,-0.00086323,-0.00041287,-0.00198166,0.00015333,0.00005497,0.00041592,-0.00053462,0.00204372,-0.00052034
1995/11/16,0.00118325,0.00020314,0.00167814,-0.00063025,0.00095083,-0.00027962,-0.00040728,0.00059491,0.00048529,0.00004606,-0.00049966,-0.00162538,0.00042084,-0.00041078,0.00004697,-0.00061922
1995/11/17,-0.00122940,0.00024419,-0.00027734,0.00052690,0.00130397,0.00008528,0.00002594,0.00002493,-0.00002390,0.00137276,-0.00108049,-0.00101527,-0.00072011,0.00149574,0.00110636,0.00024320
1995/11/20,-0.00452032,-0.00115045,-0.00053886,0.00076428,0.00034859,0.00042718,-0.00098905,0.00174841,0.00015697,-0.00100926,-0.00063141,-0.00125109,-0.00061989,-0.00231260,0.00021368,-0.00126697
1995/11/21,-0.00083220,0.00079703,-0.00039323,0.00198557,-0.00134605,-0.00047987,-0.00059255,-0.00052984,-0.00026177,-0.00088829,-0.00039628,0.00010260,-0.00018676,-0.00203897,0.00336096,-0.00013288
1995/11/22,0.00143799,-0.00065493,0.00005683,0.00104809,-0.00172290,0.00065229,0.00067135,-0.00053864,0.00064737,0.00215843,-0.00061251,-0.00101178,-0.00060369,-0.00003721,-0.00151325,0.00022459
1995/11/23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1995/11/24,0.00160628,0.00003971,-0.00074685,-0.00028835,0.00082947,-0.00070543,0.00041232,-0.00043237,0.00015148,0.00076233,-0.00004673,0.00132863,-0.00020113,0.00090100,0.00042407,0.00049880
1995/11/27,0.00180489,0.00159247,0.00059508,0.00004533,-0.00239431,-0.00043673,-0.00230710,0.00106720,-0.00029529,0.00218759,0.00002756,0.00005383,-0.00120362,0.00192515,-0.00053945,-0.00076626
1995/11/28,0.00210714,0.00119325,-0.00132733,0.00019020,0.00213028,-0.00026900,0.00204266,-0.00102529,0.00075410,-0.00070369,0.00223590,0.00179292,0.00049362,0.00217572,0.00140300,0.00047283
1995/11/29,0.00143247,0.00035877,0.00055883,0.00198259,0.00217111,-0.00027223,-0.00092479,0.00139831,0.00014835,0.00233032,0.00179005,-0.00118933,-0.00036820,0.00193205,-0.00102825,0.00047931
1995/11/30,0.00028194,-0.00205989,0.00095854,-0.00036210,-0.00078601,0.00054309,-0.00017411,-0.00088896,-0.00078126,0.00151470,0.00061673,-0.00118119,0.00001668,0.00094075,-0.00311338,-0.00166790
1995/12/01,0.00001441,0.00156215,0.00028927,0.00026790,0.00074009,0.00069057,0.00152733,0.00248765,0.00067851,-0.00224332,-0.00171037,-0.00044975,0.00035539,0.00028999,-0.00209277,-0.00044748
1995/12/04,0.00121998,0.00055162,0.00028590,-0.00032102,0.00037303,0.00141647,0.00136149,0.00083486,-0.00272928,0.00084486,0.00233427,0.00008617,0.00010805,0.00093821,0.00173330,0.00074889
1995/12/05,-0.00185173,-0.00044121,0.00042361,-0.00137894,0.00094073,-0.00008316,-0.00004546,0.00021547,0.00045733,-0.00116106,0.00103091,-0.00021529,-0.00031689,-0.00088762,0.00177339,0.00017189
1995/12/06,-0.00351472,-0.00076402,0.00086334,0.00128296,-0.00082725,-0.00100861,0.00104469,0.00142049,-0.00043556,-0.00089480,-0.00134428,-0.00023593,-0.00217982,-0.00241312,0.00206767,0.00009513
1995/12/07,-0.00247072,-0.00039691,0.00008548,0.00117302,-0.00128299,-0.00024888,-0.00109512,0.00015782,-0.00050121,-0.00145896,0.00004564,-0.00015119,0.00011378,-0.00238688,-0.00100452,-0.00119344
1995/12/08,0.00130624,-0.00056969,-0.00131173,-0.00040661,-0.00002423,-0.00067187,0.00005443,-0.00137823,0.00088777,-0.00145524,-0.00049310,0.00171244,-0.00069649,-0.00062792,0.00030787,-0.00008693
1995/12/11,-0.00136330,0.00127703,-0.00053166,-0.00004098,0.00128032,0.00045203,0.00040409,0.00060993,0.00066342,-0.00067620,0.00072785,0.00066601,-0.00009204,0.00011423,0.00056933,-0.00010232
1995/12/12,-0.00068864,-0.00103926,0.00086893,0.00043388,0.00001048,-0.00010740,-0.00194585,0.00136994,-0.00006392,0.00015815,-0.00016466,-0.00060788,-0.00028838,0.00061523,-0.00017527,-0.00111300
1995/12/13,-0.00023348,0.00214977,0.00059167,-0.00071478,-0.00006590,-0.00118503,0.00044196,0.00043957,0.00042652,0.00073390,0.00002234,0.00015095,0.00033534,0.00204244,-0.00109274,-0.00095181
1995/12/14,-0.00435134,-0.00016026,0.00060163,0.00042645,-0.00196051,0.00032803,-0.00370400,0.00055139,0.00044303,-0.00177982,0.00021678,-0.00306514,0.00017347,-0.00154886,-0.00231212,-0.00085465
1995/12/15,-0.00271364,-0.00078979,0.00096416,-0.00149149,0.00001997,0.00150548,-0.00052193,-0.00043543,0.00066529,-0.00096461,-0.00213744,-0.00194018,-0.00026682,-0.00235982,0.00116852,-0.00068430
1995/12/18,-0.00723708,-0.00100922,0.00158221,0.00190785,-0.00040384,0.00074136,-0.00312438,-0.00075457,-0.00013651,-0.00042139,-0.00250693,0.00025769,0.00046447,-0.00538719,0.00314201,-0.00018971
1995/12/19,0.00906692,0.00237541,-0.00189184,-0.00047353,0.00052218,-0.00003822,0.00145673,-0.00050582,0.00000440,0.00009371,0.00572961,0.00282523,0.00056603,0.00306224,0.00048841,0.00114603
1995/12/20,-0.00088304,-0.00094497,-0.00122857,-0.00062910,-0.00094161,-0.00088529,-0.00015322,-0.00078766,0.00031005,0.00239400,0.00069371,-0.00148203,0.00059817,0.00077605,-0.00595313,-0.00142116
1995/12/21,0.00417555,0.00175086,-0.00139474,-0.00224181,0.00073443,-0.00001704,0.00114715,0.00037463,0.00010289,0.00181980,0.00092579,-0.00158947,0.00125816,0.00155140,0.00028479,0.00086620
